id,kickoff_time,home_team,away_team,home_team_score,away_team_score,finished
1,,13,4,,,False
2,2023-08-11T19:00:00Z,6,13,0,3,True
3,2023-08-12T12:00:00Z,1,16,2,1,True
4,2023-08-12T14:00:00Z,3,19,1,1,True
5,2023-08-12T14:00:00Z,5,12,4,1,True
6,2023-08-12T14:00:00Z,9,10,0,1,True
7,2023-08-12T14:00:00Z,17,8,0,1,True
8,2023-08-12T16:30:00Z,15,2,5,1,True
9,2023-08-13T13:00:00Z,4,18,2,2,True
10,2023-08-13T15:30:00Z,7,11,1,1,True
11,2023-08-14T19:00:00Z,14,20,1,0,True
12,2023-08-18T18:45:00Z,16,17,2,1,True
13,2023-08-19T14:00:00Z,10,4,0,3,True
14,2023-08-19T14:00:00Z,11,3,3,1,True
15,2023-08-19T14:00:00Z,20,5,1,4,True
16,2023-08-19T16:30:00Z,18,14,2,0,True
17,2023-08-19T19:00:00Z,13,15,1,0,True
18,2023-08-20T13:00:00Z,2,9,4,0,True
19,2023-08-20T15:30:00Z,19,7,3,1,True
20,2023-08-21T19:00:00Z,8,1,0,1,True
21,2023-08-25T19:00:00Z,7,12,3,0,True
22,2023-08-26T11:30:00Z,3,18,0,2,True
23,2023-08-26T14:00:00Z,1,10,2,2,True
24,2023-08-26T14:00:00Z,4,8,1,1,True
25,2023-08-26T14:00:00Z,9,20,0,1,True
26,2023-08-26T14:00:00Z,14,16,3,2,True
27,2023-08-26T16:30:00Z,5,19,1,3,True
28,2023-08-27T13:00:00Z,6,2,1,3,True
29,2023-08-27T13:00:00Z,17,13,1,2,True
30,2023-08-27T15:30:00Z,15,11,1,2,True
31,2023-09-01T19:00:00Z,12,19,1,2,True
32,2023-09-02T11:30:00Z,17,9,2,2,True
33,2023-09-02T14:00:00Z,4,3,2,2,True
34,2023-09-02T14:00:00Z,6,18,2,5,True
35,2023-09-02T14:00:00Z,7,16,0,1,True
36,2023-09-02T14:00:00Z,13,10,5,1,True
37,2023-09-02T16:30:00Z,5,15,3,1,True
38,2023-09-03T13:00:00Z,8,20,3,2,True
39,2023-09-03T13:00:00Z,11,2,3,0,True
40,2023-09-03T15:30:00Z,1,14,3,1,True
41,2023-09-16T11:30:00Z,20,11,1,3,True
42,2023-09-16T14:00:00Z,2,8,3,1,True
