game_id,match_date,home_team,away_team,score,goal_scorer_h,goal_min_h,goal_scorer_a,goal_min_a,event_type
2,2023-08-11,Burnley,Manchester City,0–3,Anass Zaroury,90+4,,,red_card
2,2023-08-11,Burnley,Manchester City,0–3,,,Erling Haaland,4,goal
2,2023-08-11,Burnley,Manchester City,0–3,,,Erling Haaland,36,goal
2,2023-08-11,Burnley,Manchester City,0–3,,,Rodri,75,goal
3,2023-08-12,Arsenal,Nott'ham Forest,2–1,Eddie Nketiah,26,,,goal
3,2023-08-12,Arsenal,Nott'ham Forest,2–1,Bukayo Saka,32,,,goal
3,2023-08-12,Arsenal,Nott'ham Forest,2–1,,,Taiwo Awoniyi,82,goal
4,2023-08-12,Everton,Fulham,0–1,,,Bobby Reid,73,goal
5,2023-08-12,Sheffield Utd,Crystal Palace,0–1,,,Odsonne Édouard,49,goal
6,2023-08-12,Brighton,Luton Town,4–1,Solly March,36,,,goal
6,2023-08-12,Brighton,Luton Town,4–1,João Pedro (P),71,,,penalty_goal
6,2023-08-12,Brighton,Luton Town,4–1,Simon Adingra,85,,,goal
6,2023-08-12,Brighton,Luton Town,4–1,Evan Ferguson,90+5,,,goal
6,2023-08-12,Brighton,Luton Town,4–1,,,Carlton Morris (P),81,penalty_goal
7,2023-08-12,Bournemouth,West Ham,1–1,Dominic Solanke,82,,,goal
7,2023-08-12,Bournemouth,West Ham,1–1,,,Jarrod Bowen,51,goal
8,2023-08-12,Newcastle Utd,Aston Villa,5–1,Sandro Tonali,6,,,goal
8,2023-08-12,Newcastle Utd,Aston Villa,5–1,Alexander Isak,16,,,goal
8,2023-08-12,Newcastle Utd,Aston Villa,5–1,Alexander Isak,58,,,goal
8,2023-08-12,Newcastle Utd,Aston Villa,5–1,Callum Wilson,77,,,goal
8,2023-08-12,Newcastle Utd,Aston Villa,5–1,Harvey Barnes,90+1,,,goal
8,2023-08-12,Newcastle Utd,Aston Villa,5–1,,,Moussa Diaby,11,goal
9,2023-08-13,Brentford,Tottenham,2–2,Bryan Mbeumo (P),26,,,penalty_goal
9,2023-08-13,Brentford,Tottenham,2–2,Yoane Wissa,36,,,goal
9,2023-08-13,Brentford,Tottenham,2–2,,,Cristian Romero,11,goal
9,2023-08-13,Brentford,Tottenham,2–2,,,Emerson,45+4,goal
10,2023-08-13,Chelsea,Liverpool,1–1,Axel Disasi,37,,,goal
10,2023-08-13,Chelsea,Liverpool,1–1,,,Luis Díaz,18,goal
11,2023-08-14,Manchester Utd,Wolves,1–0,Raphaël Varane,76,,,goal
13,2023-08-18,Nott'ham Forest,Sheffield Utd,2–1,Taiwo Awoniyi,3,,,goal
13,2023-08-18,Nott'ham Forest,Sheffield Utd,2–1,Chris Wood,89,,,goal
13,2023-08-18,Nott'ham Forest,Sheffield Utd,2–1,,,Gustavo Hamer,48,goal
14,2023-08-19,Fulham,Brentford,0–3,Tim Ream,64,,,yellow_red_card
14,2023-08-19,Fulham,Brentford,0–3,,,Yoane Wissa,44,goal
14,2023-08-19,Fulham,Brentford,0–3,,,Bryan Mbeumo (P),66,penalty_goal
14,2023-08-19,Fulham,Brentford,0–3,,,Bryan Mbeumo,90+2,goal
15,2023-08-19,Liverpool,Bournemouth,3–1,Luis Díaz,27,,,goal
15,2023-08-19,Liverpool,Bournemouth,3–1,Mohamed Salah,36,,,goal
